,"消費者物價基本分類指數",
,"指數基期：民國110年=100"
"統計期","總指數"
"100年",91.21
"100年1月",90.25
"100年2月",90.93
"100年3月",90.13
"100年4月",90.80
"100年5月",90.98
"100年6月",91.54
"100年7月",91.27
"100年8月",91.30
"100年9月",91.42
"100年10月",91.91
"100年11月",91.89
"100年12月",92.09
"101年",92.97
"101年1月",92.38
"101年2月",91.15
"101年3月",91.27
"101年4月",92.11
"101年5月",92.57
"101年6月",93.16
"101年7月",93.52
"101年8月",94.43
"101年9月",94.12
"101年10月",94.05
"101年11月",93.35
"101年12月",93.58
"102年",93.71
"102年1月",93.41
"102年2月",93.85
"102年3月",92.50
"102年4月",93.08
"102年5月",93.25
"102年6月",93.72
"102年7月",93.58
"102年8月",93.69
"102年9月",94.92
"102年10月",94.66
"102年11月",93.98
"102年12月",93.89
"103年",94.83
"103年1月",94.18
"103年2月",93.81
"103年3月",93.99
"103年4月",94.62
"103年5月",94.76
"103年6月",95.25
"103年7月",95.22
"103年8月",95.64
"103年9月",95.59
"103年10月",95.66
"103年11月",94.78
"103年12月",94.46
"104年",94.54
"104年1月",93.30
"104年2月",93.62
"104年3月",93.41
"104年4月",93.84
"104年5月",94.07
"104年6月",94.72
"104年7月",94.62
"104年8月",95.21
"104年9月",95.87
"104年10月",95.95
"104年11月",95.29
"104年12月",94.58
"105年",95.86
"105年1月",94.05
"105年2月",95.88
"105年3月",95.29
"105年4月",95.60
"105年5月",95.23
"105年6月",95.57
"105年7月",95.79
"105年8月",95.75
"105年9月",96.19
"105年10月",97.58
"105年11月",97.17
"105年12月",96.18
"106年",96.45
"106年1月",96.16
"106年2月",95.82
"106年3月",95.46
"106年4月",95.69
"106年5月",95.80
"106年6月",96.53
"106年7月",96.53
"106年8月",96.67
"106年9月",96.66
"106年10月",97.26
"106年11月",97.50
"106年12月",97.35
"107年",97.76
"107年1月",97.02
"107年2月",97.93
"107年3月",96.98
"107年4月",97.61
"107年5月",97.48
"107年6月",97.88
"107年7月",98.22
"107年8月",98.16
"107年9月",98.32
"107年10月",98.39
"107年11月",97.78
"107年12月",97.29
"108年",98.30
"108年1月",97.19
"108年2月",98.14
"108年3月",97.52
"108年4月",98.25
"108年5月",98.39
"108年6月",98.71
"108年7月",98.60
"108年8月",98.58
"108年9月",98.73
"108年10月",98.75
"108年11月",98.35
"108年12月",98.41
"109年",98.07
"109年1月",99.00
"109年2月",97.94
"109年3月",97.50
"109年4月",97.30
"109年5月",97.20
"109年6月",97.98
"109年7月",98.10
"109年8月",98.25
"109年9月",98.16
"109年10月",98.49
"109年11月",98.44
"109年12月",98.45
"110年",100.00
"110年1月",98.81
"110年2月",99.29
"110年3月",98.69
"110年4月",99.35
"110年5月",99.58
"110年6月",99.77
"110年7月",99.97
"110年8月",100.55
"110年9月",100.71
"110年10月",101.00
"110年11月",101.24
"110年12月",101.04
"111年",102.95
"111年1月",101.61
"111年2月",101.60
"111年3月",101.92
"111年4月",102.70
"111年5月",102.96
"111年6月",103.35
"111年7月",103.32
"111年8月",103.24
"111年9月",103.49
"111年10月",103.77
"111年11月",103.62
"111年12月",103.78
"112年",105.51
"112年1月",104.71
"112年2月",104.06
"112年3月",104.32
"112年4月",105.11
"112年5月",105.04
"112年6月",105.16
"112年7月",105.26
"112年8月",105.85
"112年9月",106.52
"112年10月",106.92
"112年11月",106.62
"112年12月",106.58
"113年",107.81
"113年1月",106.59
"113年2月",107.26
"113年3月",106.56
"113年4月",107.15
"113年5月",107.38
"113年6月",107.71
"113年7月",107.92
"113年8月",108.34
"113年9月",108.46
"113年10月",108.73
"113年11月",108.84
"113年12月",108.82
"114年",109.60
"114年1月",109.44
"114年2月",109.00
"114年3月",109.05
"114年4月",109.33
"114年5月",109.03
"114年6月",109.17
"114年7月",109.57
"114年8月",110.07
"114年9月",109.82
"114年10月",110.33
"114年11月",110.16
"114年12月",110.24
"115年1月",110.22
"115年2月",110.91
"115年3月",110.36
"115年4月",111.23


"註解："
"由於受查者延誤或更正報價，最近3個月資料均可能修正。"
""
